Time,Command Sent,Battery Level
89
12:01:51,batlv?,89
12:02:01,batlv?,88
12:02:11,batlv?,88
12:02:21,batlv?,88
12:02:31,batlv?,88
12:02:41,batlv?,88
12:02:51,batlv?,87
12:03:01,batlv?,87
12:03:11,batlv?,87
12:03:21,batlv?,87
12:03:31,batlv?,87
12:03:41,batlv?,87
12:03:51,batlv?,86
12:04:01,batlv?,86
12:04:11,batlv?,86
12:04:21,batlv?,86
12:04:31,batlv?,86
12:04:41,batlv?,86
12:04:51,batlv?,85
12:05:01,batlv?,85
12:05:11,batlv?,85
12:05:21,batlv?,85
12:05:31,batlv?,85
12:05:41,batlv?,85
12:05:51,batlv?,84
12:06:01,batlv?,84
12:06:11,batlv?,84
12:06:21,batlv?,84
12:06:31,batlv?,84
12:06:41,batlv?,84
12:06:51,batlv?,83
12:07:01,batlv?,83
12:07:11,batlv?,83
12:07:21,batlv?,83
12:07:31,batlv?,83
12:07:41,batlv?,83
12:07:51,batlv?,82
12:08:01,batlv?,82
12:08:11,batlv?,82
12:08:21,batlv?,82
12:08:31,batlv?,82
12:08:41,batlv?,82
12:08:51,batlv?,82
12:09:01,batlv?,81
12:09:11,batlv?,81
12:09:21,batlv?,81
12:09:31,batlv?,81
12:09:41,batlv?,81
12:09:51,batlv?,81
12:10:01,batlv?,79
12:10:11,batlv?,79
12:10:21,batlv?,79
12:10:31,batlv?,79
12:10:41,batlv?,79
12:10:51,batlv?,79
12:11:01,batlv?,78
12:11:11,batlv?,78
12:11:21,batlv?,78
12:11:31,batlv?,78
12:11:41,batlv?,78
12:11:51,batlv?,78
12:12:01,batlv?,77
12:12:11,batlv?,77
12:12:21,batlv?,77
12:12:31,batlv?,77
12:12:41,batlv?,77
12:12:51,batlv?,77
12:13:01,batlv?,76
12:13:11,batlv?,76
12:13:21,batlv?,76
12:13:31,batlv?,76
12:13:41,batlv?,76
12:13:51,batlv?,76
12:14:01,batlv?,75
12:14:11,batlv?,75
12:14:21,batlv?,75
12:14:31,batlv?,75
12:14:41,batlv?,75
12:14:51,batlv?,75
12:15:01,batlv?,74
12:15:11,batlv?,73
12:15:21,batlv?,74
12:15:31,batlv?,74
12:15:41,batlv?,74
12:15:51,batlv?,74
12:16:01,batlv?,74
12:16:11,batlv?,73
12:16:21,batlv?,72
12:16:31,batlv?,73
12:16:41,batlv?,73
12:16:51,batlv?,73
12:17:01,batlv?,73
12:17:11,batlv?,71
12:17:21,batlv?,71
12:17:31,batlv?,71
12:17:41,batlv?,71
12:17:51,batlv?,71
12:18:01,batlv?,71
12:18:11,batlv?,70
12:18:21,batlv?,70
12:18:31,batlv?,70
12:18:41,batlv?,70
12:18:51,batlv?,70
12:19:01,batlv?,70
12:19:11,batlv?,69
12:19:21,batlv?,69
12:19:31,batlv?,69
12:19:41,batlv?,69
12:19:51,batlv?,69
12:20:01,batlv?,69
12:20:11,batlv?,68
12:20:21,batlv?,68
12:20:31,batlv?,68
12:20:41,batlv?,68
12:20:51,batlv?,68
12:21:01,batlv?,68
12:21:11,batlv?,67
12:21:21,batlv?,67
12:21:31,batlv?,67
12:21:41,batlv?,67
12:21:51,batlv?,67
12:22:01,batlv?,67
12:22:11,batlv?,66
12:22:21,batlv?,66
12:22:31,batlv?,66
12:22:41,batlv?,66
12:22:51,batlv?,66
12:23:01,batlv?,66
12:23:11,batlv?,64
12:23:21,batlv?,65
12:23:31,batlv?,65
12:23:41,batlv?,65
12:23:51,batlv?,65
12:24:01,batlv?,65
12:24:11,batlv?,65
12:24:21,batlv?,64
12:24:31,batlv?,64
12:24:41,batlv?,63
12:24:51,batlv?,64
12:25:01,batlv?,64
12:25:11,batlv?,64
12:25:21,batlv?,62
12:25:31,batlv?,62
12:25:41,batlv?,62
12:25:51,batlv?,62
12:26:01,batlv?,62
12:26:11,batlv?,62
12:26:21,batlv?,61
12:26:31,batlv?,61
12:26:41,batlv?,61
12:26:51,batlv?,61
12:27:01,batlv?,61
12:27:11,batlv?,61
12:27:21,batlv?,60
12:27:31,batlv?,60
12:27:41,batlv?,60
12:27:51,batlv?,60
12:28:01,batlv?,60
12:28:11,batlv?,60
12:28:21,batlv?,59
12:28:31,batlv?,59
12:28:41,batlv?,59
12:28:51,batlv?,59
12:29:01,batlv?,59
12:29:11,batlv?,59
12:29:21,batlv?,58
12:29:31,batlv?,58
12:29:41,batlv?,58
12:29:51,batlv?,58
12:30:01,batlv?,58
12:30:11,batlv?,58
12:30:21,batlv?,56
12:30:31,batlv?,57
12:30:41,batlv?,57
12:30:51,batlv?,57
12:31:01,batlv?,57
12:31:11,batlv?,57
12:31:21,batlv?,57
12:31:31,batlv?,56
12:31:41,batlv?,56
12:31:51,batlv?,56
12:32:01,batlv?,56
12:32:11,batlv?,56
12:32:21,batlv?,56
12:32:31,batlv?,55
12:32:41,batlv?,55
12:32:51,batlv?,55
12:33:01,batlv?,54
12:33:11,batlv?,55
12:33:21,batlv?,55
12:33:31,batlv?,53
12:33:41,batlv?,53
12:33:51,batlv?,53
12:34:01,batlv?,53
12:34:11,batlv?,53
12:34:21,batlv?,53
12:34:31,batlv?,52
12:34:41,batlv?,52
12:34:51,batlv?,52
12:35:01,batlv?,52
12:35:11,batlv?,52
12:35:21,batlv?,52
12:35:31,batlv?,51
12:35:41,batlv?,51
12:35:51,batlv?,51
12:36:01,batlv?,51
12:36:11,batlv?,51
12:36:21,batlv?,51
12:36:31,batlv?,50
12:36:41,batlv?,50
12:36:51,batlv?,50
12:37:01,batlv?,50
12:37:11,batlv?,50
12:37:21,batlv?,50
12:37:31,batlv?,50
12:37:41,batlv?,49
12:37:51,batlv?,49
12:38:01,batlv?,49
12:38:11,batlv?,49
12:38:21,batlv?,49
12:38:31,batlv?,49
12:38:41,batlv?,47
12:38:51,batlv?,48
12:39:01,batlv?,48
12:39:11,batlv?,48
12:39:21,batlv?,48
12:39:31,batlv?,48
12:39:41,batlv?,47
12:39:51,batlv?,47
12:40:01,batlv?,47
12:40:11,batlv?,46
12:40:21,batlv?,47
12:40:31,batlv?,47
12:40:41,batlv?,46
12:40:51,batlv?,46
12:41:01,batlv?,46
12:41:11,batlv?,46
12:41:21,batlv?,45
12:41:31,batlv?,46
12:41:41,batlv?,44
12:41:51,batlv?,44
12:42:01,batlv?,44
12:42:11,batlv?,44
12:42:21,batlv?,44
12:42:31,batlv?,44
12:42:41,batlv?,43
12:42:51,batlv?,43
12:43:01,batlv?,43
12:43:11,batlv?,43
12:43:21,batlv?,43
12:43:31,batlv?,43
